sensor_name,timestamp,acceleration_x,acceleration_y,acceleration_z,acceleration_magnitude
MPU6050_A,2681,1.764526606,2.944868088,12.299014091,12.769164085
ADXL345,2681,0.392266005,-0.470719218,11.414940834,11.431374550
MPU6050_A,2696,1.747767210,2.959233284,12.246341705,12.719458580
ADXL345,2696,0.392266005,-0.431492597,11.297261238,11.312301636
MPU6050_A,2711,1.601720929,2.920926094,12.114660263,12.564326286
ADXL345,2711,0.313812792,-0.431492597,11.140354156,11.153122902
MPU6050_A,2726,1.517923832,2.920926094,12.050017357,12.491549492
ADXL345,2726,0.117679805,-0.431492597,10.904994965,10.914162636
MPU6050_A,2741,1.407790542,2.870647907,11.911153793,12.332805634
ADXL345,2741,0.117679805,-0.431492597,10.826541901,10.835776329
MPU6050_A,3026,1.015141487,2.973598480,11.039664268,11.478109360
ADXL345,3026,-0.078453198,-0.431492597,9.845876694,9.855639458
MPU6050_A,3041,1.101332784,3.002328873,11.276689529,11.721375465
ADXL345,3041,-0.039226599,-0.353039414,9.963556290,9.969885826
MPU6050_A,3056,1.137245774,3.016694069,11.398794174,11.845939636
ADXL345,3056,0.000000000,-0.353039414,10.159689903,10.165822029
MPU6050_A,3071,1.326387763,2.983175278,11.700463295,12.147406578
ADXL345,3071,0.039226599,-0.353039414,10.355822563,10.361912727
MPU6050_A,3086,1.403002143,2.964021683,11.832144737,12.278171539
ADXL345,3086,0.117679805,-0.313812792,10.551955223,10.557276726
MPU6050_A,3108,1.604115129,3.016694069,12.040440559,12.515823364
ADXL345,3108,0.156906396,-0.274586201,10.983448029,10.987999916
MPU6050_A,3123,1.661576033,3.028665066,12.133813858,12.615984917
ADXL345,3123,0.274586201,-0.353039414,11.061901093,11.070939064
MPU6050_A,3138,1.719036818,3.026270866,12.291831970,12.775074959
ADXL345,3138,0.313812792,-0.313812792,11.179581642,11.188386917
MPU6050_A,3153,1.814804912,2.980781078,12.234370232,12.722357750
ADXL345,3153,0.431492597,-0.313812792,11.375714302,11.388219833
MPU6050_A,3168,1.924938202,3.050212860,12.325350761,12.842252731
ADXL345,3168,0.509945810,-0.313812792,11.375714302,11.391461372
MPU6050_A,3190,2.056619167,3.052607059,12.131420135,12.677517891
ADXL345,3190,0.627625585,-0.313812792,11.454167366,11.475641251
MPU6050_A,3205,2.090138197,3.148375273,12.097901344,12.674389839
ADXL345,3205,0.784532011,-0.274586201,11.414940834,11.445162773
MPU6050_A,3220,2.188300371,3.002328873,11.947066307,12.511396408
ADXL345,3220,0.784532011,-0.274586201,11.336487770,11.366918564
MPU6050_A,3235,2.238578558,3.016694069,11.743558884,12.329754829
ADXL345,3235,0.823758602,-0.235359609,11.101127625,11.134137154
MPU6050_A,3250,2.181117773,3.047818661,11.530475616,12.124286652
ADXL345,3250,0.902211785,-0.313812792,11.101127625,11.142149925
MPU6050_A,3273,2.288856745,3.059789658,11.264719009,11.895170212
ADXL345,3273,0.980665028,-0.235359609,10.865768433,10.912470818
MPU6050_A,3288,2.276885748,3.047818661,10.934319496,11.577251434
ADXL345,3288,1.098344803,-0.235359609,10.591181755,10.650581360
MPU6050_A,3303,2.231395960,3.028665066,10.790667534,11.427617073
ADXL345,3303,1.137571454,-0.235359609,10.395049095,10.459756851
MPU6050_A,3318,2.303221941,3.028665066,10.469843864,11.139805794
ADXL345,3318,1.098344803,-0.235359609,10.081236839,10.143623352
MPU6050_A,3333,2.327163935,2.966415882,10.168174744,10.844680786
ADXL345,3333,1.176797986,-0.235359609,9.924329758,9.996627808
MPU6050_A,3355,2.276885748,2.947262287,9.842563629,10.523621559
ADXL345,3355,1.216024637,-0.235359609,9.610517502,9.690002441
MPU6050_A,3370,2.279279947,2.959233284,9.595960617,10.297311783
ADXL345,3370,1.216024637,-0.156906396,9.335930824,9.416100502
MPU6050_A,3385,2.236184359,2.949656487,9.339780807,10.046517372
ADXL345,3385,1.216024637,-0.196133003,9.257477760,9.339061737
MPU6050_A,3400,2.193088770,2.987963676,9.349357605,10.057238579
ADXL345,3400,1.255251169,-0.196133003,9.139798164,9.227677345
MPU6050_A,3415,2.195482969,2.978386879,9.109937668,9.832695007
ADXL345,3415,1.255251169,-0.196133003,9.022118568,9.111133575
MPU6050_A,3436,2.207453966,2.928108692,9.133879662,9.842480659
ADXL345,3436,1.333704472,-0.235359609,8.943664551,9.045622826
MPU6050_A,3451,2.197877169,2.961627483,9.081207275,9.801542282
ADXL345,3451,1.255251169,-0.196133003,8.982891083,9.072290421
MPU6050_A,3466,2.221819162,2.937685490,9.141061783,9.855226517
ADXL345,3466,1.294477820,-0.235359609,9.022118568,9.117548943
MPU6050_A,3481,2.157175779,2.956839085,9.162610054,9.866596222
ADXL345,3481,1.255251169,-0.196133003,9.022118568,9.111133575
MPU6050_A,3496,2.207453966,2.973598480,9.411606789,10.114024162
ADXL345,3496,1.255251169,-0.196133003,9.257477760,9.344250679
MPU6050_A,3518,2.219424963,3.019088268,9.545681953,10.254793167
ADXL345,3518,1.255251169,-0.274586201,9.492836952,9.579405785
MPU6050_A,3533,2.240972757,2.923320293,9.830592155,10.498014450
